Composite.Element.REF	TCGA-3X-AAV9-01	TCGA-WD-A7RX-01	TCGA-3X-AAVC-01	TCGA-W5-AA34-01	TCGA-W5-AA33-01	TCGA-4G-AAZT-01	TCGA-ZD-A8I3-01	TCGA-ZH-A8Y1-01	TCGA-ZH-A8Y2-01	TCGA-ZH-A8Y5-01	TCGA-ZH-A8Y6-01	TCGA-W5-AA36-01	TCGA-YR-A95A-01	TCGA-ZH-A8Y8-01	TCGA-W5-AA2G-01	TCGA-W5-AA2H-01	TCGA-W5-AA2O-01	TCGA-W5-AA2Q-01	TCGA-W5-AA2R-01	TCGA-W5-AA2U-01	TCGA-W5-AA2W-01	TCGA-W5-AA2X-01	TCGA-W5-AA2Z-01	TCGA-W5-AA30-01	TCGA-W5-AA31-01	TCGA-W5-AA38-01	TCGA-W5-AA39-01	TCGA-3X-AAVA-01	TCGA-W6-AA0S-01	TCGA-W5-AA2I-01
STK11|LKB1	1.96	-0.1498	0.4633	0.8396	-1.5229	0.4445	0.2444	0.7323	-0.4413	0.2178	-1.14	-0.7871	-0.5929	-0.8769	-0.882	2.585	-0.0464	-0.6641	0.0676	-1.1151	-0.5326	1.6268	-0.1342	-0.2564	0.7127	-1.3026	-0.1171	-0.9134	-0.2947	1.8754
MAPK1 MAPK3|MAPK_pT202_Y204	0.4453	-0.3514	-0.8188	0.5814	1.4553	-0.1748	0.7894	0.0724	-1.241	-0.4684	0.9488	-0.2191	-1.0836	1.2793	0.0699	2.9803	-1.1764	-0.7761	0.5022	1.2812	-1.1545	-0.2309	-0.5156	-0.5054	-0.7596	-1.4271	1.0699	0.5936	-1.2575	0.0912
MAP2K1|MEK1	0.2056	0.4488	1.2329	-2.3405	-0.4605	0.5571	0.2201	0.5113	-0.1002	0.1278	-0.6719	-0.1454	-0.4164	-0.247	-0.4267	0.8464	1.3076	0.1182	-0.0637	0.535	0.1088	0.2361	0.7078	0.3894	0.5588	0.2323	-0.8398	-0.7163	1.7012	-3.6168
MAP2K1|MEK1_pS217_S221	1.1112	0.2853	0.1993	0.7053	-1.4141	0.0524	1.0008	0.9513	-0.3996	-0.096	-1.1658	-0.8444	-0.676	-0.2835	-1.1226	3.4396	-0.7186	-0.8808	-0.1664	0.3229	-0.6886	1.2806	0.0671	-0.529	0.2462	-0.878	0.2843	-0.887	-0.7209	1.5253
ERRFI1|MIG-6	0.4671	-0.8493	-0.7562	0.5786	-1.1999	-0.706	-0.0393	0.524	-0.2609	0.0162	0.0713	0.2366	-0.437	-0.406	-0.6325	-0.1848	-0.5765	-0.7348	-0.8239	-1.0808	1.4446	3.2475	0.0478	-0.9329	0.5225	-0.6251	2.4731	-0.3358	-0.3747	1.3273
MRE11A|Mre11	0.9375	-0.5787	-0.805	0.6796	0.379	0.0473	0.0581	-0.7168	-0.9297	-0.2329	0.5833	-0.5487	-0.9189	0.2952	-0.6212	3.4411	-0.3884	-0.4321	0.6823	-1.1617	-0.7254	2.0171	-0.4716	-0.5589	0.2347	-1.5502	-0.0769	0.2044	-0.3796	1.537
MTOR|mTOR	-0.1257	-0.4018	-0.2427	-0.3403	0.1135	1.393	-0.5505	-1.3564	-0.7947	0.1507	-0.0895	2.4071	-0.0668	-0.7082	-0.1366	-0.8193	0.6807	0.7203	0.116	0.4645	1.0937	-1.39	0.7362	0.1291	0.1511	1.5907	0.6147	0.0649	-0.2399	-3.1636
MTOR|mTOR_pS2448	0.2189	0.0444	-0.6195	1.3888	2.2238	0.6362	-0.7502	-0.9434	-1.7191	-1.45	1.8706	-0.0357	-0.4084	1.3278	0.6478	0.8368	-0.3398	-0.3429	0.7457	0.0645	-0.5436	-2.077	-0.8018	-0.2946	0.0169	-0.1768	0.4927	1.342	-0.4504	-0.9035
CDH2|N-Cadherin	0.6305	-0.2107	-0.969	0.1641	1.476	-0.3748	0.4545	-0.9405	-0.659	0.1662	1.1382	-1.0505	-1.2326	0.7351	0.3851	2.4227	-0.7279	0.3299	1.6122	-1.2398	-1.3598	1.387	-0.8914	-0.9105	-0.0544	-1.7101	0.3383	0.5762	-0.2744	0.7894
NFKB1|NF-kB-p65_pS536	0.6823	-0.7939	-0.5547	-0.2867	1.0162	-1.1651	0.5953	2.0984	-0.0453	-0.6373	0.5148	-0.8572	-1.802	-0.288	-0.4953	2.1269	-0.9625	-0.664	1.847	-0.187	1.024	1.7626	-0.6946	-0.9341	-0.8471	-0.4131	-0.6567	0.4469	0.1145	0.0556
NF2|NF2	-0.499	0.6721	1.1254	-1.8657	-2.4668	0.5104	1.3183	-0.4184	0.1483	0.6497	-1.5472	1.336	0.3704	-0.0011	0.059	-0.8624	1.64	-0.1587	-0.8525	0.4681	-0.5936	-1.2246	-0.283	0.4756	1.4099	1.4922	-0.1726	-0.4071	-0.6636	0.341
NOTCH1|Notch1	0.3446	-0.7444	-1.2977	-0.1882	1.9326	-0.5178	-1.033	-1.1431	-1.317	1.3025	1.1596	0.112	-0.9492	0.8169	0.4457	1.823	-0.9367	0.6653	0.7522	-1.1099	-0.9027	1.3657	-0.687	-0.3437	0.464	-1.5315	0.8178	0.7984	-0.7884	0.6899
CDH3|P-Cadherin	2.4059	-0.4358	-1.9483	0.1448	2.024	0.2283	-0.3528	-0.1295	-0.5553	-0.2711	1.5604	-1.1173	-0.1904	0.3792	0.4365	0.6815	-0.9417	1.0775	-0.1971	-1.1949	-0.4481	1.0665	-1.5889	-0.8747	-0.2734	-1.09	0.9299	0.0959	-0.2435	0.8225
CDKN1B|p27	1.7025	1.0285	1.6901	0.9376	-0.3773	-0.3167	-0.2471	-1.2834	-0.4976	2.4143	-0.3716	-0.918	-1.2289	0.1282	-0.9949	-2.1528	0.1499	0.4687	0.0133	-0.5728	-0.5555	0.2089	-0.2025	0.7263	0.7848	-1.2531	1.0358	-0.1243	0.73	-0.9225
CDKN1B|p27_pT157	-0.2354	0.0399	-1.5887	0.5492	2.5176	-0.4941	-1.1307	-0.8662	-1.3917	-0.5202	1.7036	0.0039	0.2782	1.2229	0.9741	1.1607	0.0111	-0.1852	1.0015	-0.3919	-0.5132	0.4825	-1.616	-0.3173	-0.313	-1.2641	0.8283	1.3707	-0.638	-0.6784
MAPK14|p38_MAPK	1.3919	0.6701	1.0923	1.5206	-1.8252	0.8971	0.3843	0.0841	0.9164	0.4047	-1.7998	1.2163	0.3718	-1.4608	-1.3696	0.1619	0.4415	-0.1984	-0.0591	-0.2436	0.4796	-1.7885	-0.0801	0.4744	0.5707	0.3136	-1.9101	-0.8446	-0.6669	0.8556
MAPK14|p38_pT180_Y182	1.6471	1.7891	0.9896	2.0862	-0.2934	-0.7319	0.3773	1.0351	-0.1285	-0.8491	-0.7744	-0.5308	-1.7737	0.2948	-1.2413	-0.537	-0.9894	-1.5915	0.3167	0.5362	-0.0424	-0.0517	0.2628	0.4181	0.3647	-0.6141	-1.1421	0.1666	-0.8643	1.8712
TP53|p53	-0.2072	-0.2163	-0.2462	0.7732	2.4457	-0.4976	-0.9503	-0.8846	-0.9384	-0.2195	2.2055	0.0698	-0.5134	1.6129	1.1543	-1.6209	-0.4463	-0.0386	0.7455	-0.3499	-1.2043	-0.0829	-1.0423	0.2662	-0.0877	-1.3149	0.6018	1.5996	-0.7401	0.1266
RPS6KB1|p70S6K	-1.0595	-0.0694	-0.5445	-3.1073	0.0268	0.6478	0.1937	-0.1938	0.6678	-0.0204	0.1343	0.8782	0.3811	-0.485	1.0757	-2.1313	2.4155	0.1979	-0.066	0.3389	0.1247	-0.5346	0.5708	0.7017	0.9742	0.4217	-0.823	-0.1911	0.7425	-1.2671
RPS6KB1|p70S6K_pT389	1.1119	-1.0205	-0.8566	-0.3022	1.1902	0.8497	-0.1151	-1.181	-0.9351	-0.7492	1.0351	0.2404	-1.0621	0.1045	0.0014	2.6333	-0.1726	0.1549	0.9877	-0.8599	-1.1199	1.9716	-0.6486	-0.0371	-0.3367	-1.8064	-0.227	0.3233	-0.455	1.2809
RPS6KA1|p90RSK_pT359_S363	0.9624	-0.6955	0.9822	0.0463	1.8512	-0.5021	0.3621	-0.5999	-1.1917	-0.5096	1.2615	-1.0654	-1.0671	0.9719	0.2325	1.0607	-1.1208	-0.0068	1.1484	-0.7585	-0.555	2.1263	-1.488	-0.5628	0.0334	-1.7494	0.0441	0.8161	-0.892	0.8656
SERPINE1|PAI-1	0.2924	0.2944	-1.3401	0.8351	-1.1915	-0.4121	0.9758	1.282	-1.0215	0.2635	-1.2978	-1.0201	0.1252	-0.1767	-1.1216	-1.803	0.5062	0.8803	-0.9523	-0.4988	-0.3466	0.9772	0.7439	-1.3086	0.5977	0.7071	0.81	-0.6266	1.8975	1.9291
PXN|Paxillin	-1.595	-1.1717	-1.3594	-1.113	-0.326	0.4161	-0.0471	0.4461	-0.7205	0.1606	0.2941	0.5333	1.1125	-1.2447	1.4184	-0.6372	2.1151	0.9267	0.6402	-0.0409	1.2273	-0.8738	0.8261	-0.141	-0.7946	1.1492	-1.3783	0.1868	1.3723	-1.3817
PCNA|PCNA	0.599	0.8358	1.6492	1.6915	-1.4461	-2.2669	-0.4238	-0.6269	-0.2508	-0.1044	-0.967	-1.4628	0.3793	1.0002	0.4428	-0.845	0.2853	-1.8063	0.3482	0.3207	-0.2145	0.3798	-1.1859	-0.494	1.2688	0.2405	1.4009	0.407	-0.2073	1.0528
PDK1|PDK1_pS241	-0.5065	0.2741	1.6131	-0.0753	-1.9993	0.0946	0.7537	0.4656	0.5014	1.3219	-1.7686	1.2025	0.6996	-0.8131	0.1441	-0.7669	1.3496	1.0344	0.2085	-0.5015	0.6891	-2.0079	0.8086	0.3645	-0.1761	-0.5918	-2.0337	-0.8651	0.4001	0.1805
PEA15|PEA15	0.9341	0.6335	-0.5017	0.5295	-2.399	0.4017	-0.2046	-0.0869	-0.1465	0.8068	-1.4307	-0.6843	0.5416	-0.8595	-0.9957	2.5061	-0.7383	-0.0732	-0.5581	-0.4348	0.0431	-1.4316	0.5777	0.1412	0.5016	0.1432	1.1246	-1.0598	0.6813	2.0388
PIK3CA |PI3K-p110-alpha	1.1205	1.0542	-0.0163	1.9103	-0.2875	0.3181	-0.9724	-1.8605	-0.7597	0.5091	-0.069	0.2546	0.5431	0.6929	0.0661	-1.8805	0.8533	-0.5284	0.0137	-0.2708	-0.8017	-3.0324	0.1977	0.6598	1.0732	-0.349	-0.1218	0.1483	0.3871	1.1479
PRKCA |PKC-alpha	-0.3617	0.0342	0.5115	-0.8718	-0.3144	-0.7055	0.8397	-1.5758	0.6701	-0.295	0.4178	-0.0193	2.2953	-0.77	0.9997	-0.1013	2.0817	-1.1331	0.5553	0.3225	-1.9817	-0.7374	-0.4404	-0.1047	-1.355	1.7921	-0.8564	-0.1449	0.9342	0.3144
PRKCA |PKC-alpha_pS657	-0.3102	0.0252	0.3542	-0.813	0.1448	-0.5487	1.002	-1.3207	0.685	-0.2574	0.8556	-0.0767	2.2187	-0.6093	0.8561	-1.5528	1.9316	-1.0287	0.5499	0.3086	-1.7932	-0.7314	-0.1296	-0.1168	-1.603	1.669	-1.0544	0.0384	0.804	0.5025
PRKCD|PKC-delta_pS664	-0.6178	-0.6827	0.4548	-1.0792	0.4571	0.4837	-0.1212	-0.4868	-0.9843	0.5106	-0.0005	0.0795	1.2209	-0.7054	0.1045	-3.0784	0.8674	0.3988	1.6016	0.7465	1.3142	-0.9815	-0.0078	0.3553	-1.2597	1.637	0.3304	0.3061	0.7264	-1.5896
PGR|PR	0.8159	-0.3814	-1.2164	1.2226	1.2136	-0.348	-0.7664	-0.0489	-0.3075	-0.0671	1.5805	-0.9064	-0.7656	1.0676	0.104	2.2182	-0.3819	-0.1996	-0.2346	-1.2116	-0.9494	1.1652	-1.4752	-0.7514	0.4653	-1.9907	0.8263	0.622	-0.5854	1.2863
AKT1S1|PRAS40_pT246	-0.3302	0.2072	-1.3265	1.473	1.1124	0.4293	-2.4316	0.5201	-0.6834	1.0891	0.1959	0.2973	-0.5066	0.1128	-0.7597	2.2459	-0.5815	-0.7008	-0.5743	0.4763	-1.2183	0.2614	0.0317	1.4726	-1.3907	-0.7406	0.6557	0.4347	-0.983	1.2115
PTEN|PTEN	-1.9025	-0.1019	0.2431	-0.0263	0.2314	0.8649	0.9294	0.4569	0.7164	0.222	0.3759	0.7497	0.4204	-0.2305	0.3608	-1.9668	1.0267	1.0617	-0.0319	0.3591	0.8034	-1.8766	0.165	0.8454	0.571	0.1841	-1.6653	0.0986	0.0445	-2.9286
RAD50|Rad50	0.3221	0.0936	-0.9489	2.7051	0.3376	-0.4605	-0.3432	-1.4055	1.1944	0.7545	0.1426	0.7917	-1.0323	1.2225	-0.2011	-2.4122	0.0989	-1.1228	0.7309	-0.0682	0.3642	-1.7281	-0.239	-0.0272	0.7298	0.3286	-0.7358	0.8319	-0.7757	0.8522
RAD51|Rad51	1.2261	-0.6803	-0.1088	-0.2513	0.8456	-0.2544	0.6028	-0.394	-0.5598	-0.2813	0.4795	-1.2406	-1.0646	0.3653	0.0381	2.2354	-1.2333	-0.7127	1.4437	-0.8235	-0.7019	3.0205	-0.6283	-0.4481	0.1848	-1.3302	-0.2969	0.2988	-0.644	0.9136
RB1|Rb_pS807_S811	1.0785	0.9439	1.4452	0.9119	1.3064	-1.4119	0.6388	0.1508	-1.9314	-1.1156	0.9563	0.0099	-1.1112	1.3777	0.1437	-1.7283	-0.3223	-0.604	0.538	0.2119	-0.2138	-1.1667	-1.1903	0.6463	-0.9222	0.7935	-0.4261	0.8244	-1.0268	1.1936
RPS6|S6	0.0487	0.4851	-0.5106	0.9755	-1.6252	1.0073	-1.1877	-0.702	-0.3384	0.3675	-0.8981	1.9673	0.758	-1.0984	0.3283	-2.6723	1.2995	0.7989	-1.4275	0.0637	0.9493	-0.6334	0.3033	0.3193	-0.1185	1.1285	0.9926	-0.5645	0.5293	-0.5454
RPS6|S6_pS235_S236	-0.4244	0.2627	0.3728	0.5408	1.5386	-0.1672	-0.966	-0.8357	-1.0244	-0.8377	1.1908	-0.2866	-0.9389	1.2202	0.558	1.0001	-1.2562	-0.4569	0.1572	0.8008	-1.0571	-1.6127	-0.6305	0.097	-0.4273	0.877	2.9052	0.984	-1.0814	-0.502
RPS6|S6_pS240_S244	-0.6268	-0.0214	0.0325	0.3003	1.7887	-0.5886	-0.932	-0.5978	-0.7804	-0.5929	1.8197	-0.4187	-0.7866	1.0536	0.6563	1.0296	-1.1642	-0.6101	0.2169	0.6218	-0.8285	-0.6906	-1.0368	-0.1569	-0.4158	1.0321	2.7999	1.0852	-1.1301	-1.0585
SHC1|Shc_pY317	-1.0183	-0.3966	-0.7589	-0.5775	1.534	0.7025	-0.87	0.0467	0.066	0.0827	1.3279	-0.8522	0.7875	1.1276	1.0126	-2.3097	-0.3328	1.1838	1.0354	0.0282	1.3995	-1.3259	-0.7131	0.8837	-0.1542	-1.1545	0.4704	1.1012	-0.6874	-1.6384
SMAD1|Smad1	0.2222	-0.2603	1.7178	0.5477	-2.4476	1.1286	-0.7173	-0.2471	0.0331	0.5431	-1.0402	0.7352	0.6039	-1.4962	-0.603	-0.9201	1.1857	0.2715	-1.0306	-0.3085	0.4918	-1.0849	0.8557	1.6056	1.3574	-1.0585	0.0873	-1.273	0.0518	1.0487
SMAD3|Smad3	0.4747	-0.0922	0.4265	0.3198	-3.2535	0.5866	0.0564	0.199	0.6572	-0.0421	-2.1437	1.0464	0.445	-1.2738	-0.6111	0.754	1.3284	-0.4486	-0.5322	-0.6251	0.6835	0.0693	0.1851	-0.6455	0.1538	0.3699	0.6153	-1.2888	0.7837	1.8018
SMAD4|Smad4	0.2676	-0.1153	-0.3431	0.8409	2.6667	-0.9667	-0.7215	0.9971	-1.1057	-0.3961	1.8104	-0.2607	-0.5744	1.3328	1.2625	-1.3589	-0.6143	-1.0012	0.5266	-0.3606	-0.8176	-0.4366	-1.0466	-0.1349	0.2068	-1.1723	0.6575	1.6354	-0.9682	0.1906
SRC|Src	0.4422	0.4395	0.2688	1.5532	-1.3693	1.468	0.2183	-1.122	0.8869	1.3929	-1.5848	-0.5261	0.3584	-0.016	-0.2569	-0.706	0.5845	-0.9377	0.418	-0.7403	0.2607	0.2732	-0.0983	1.2358	1.3266	-0.3304	-2.3537	-1.0535	-1.3274	1.2954
SRC|Src_pY416	1.3086	0.1995	2.0231	1.0325	1.7281	-1.1706	0.1465	-0.0904	-1.3456	-0.8155	1.3463	-0.4715	-0.5573	1.5208	0.6104	-1.9721	-0.6083	-0.3364	1.0045	0.2773	-0.4664	-0.3311	-0.5676	-0.3487	-0.2028	-0.8082	-0.0374	1.1018	-1.6778	-0.4918
SRC|Src_pY527	0.5531	0.5101	0.6419	2.7126	0.7025	1.0183	0.6396	-0.0493	-0.9444	-0.9588	0.3701	-0.4027	-1.2566	1.128	-0.5246	1.3116	-0.3892	-1.3791	0.5297	0.6898	-0.2098	0.4995	-0.1419	0.5322	-0.7166	-0.3602	-1.799	0.2484	-2.2021	-0.7532
STAT3|STAT3_pY705	1.2542	0.6172	0.6752	2.7146	0.4673	0.1493	-0.296	-0.4948	0.7664	-0.6742	-0.637	-0.4012	-2.3737	-0.1591	-1.09	1.2791	-1.058	-1.5437	-0.0855	0.5769	0.5324	0.7518	0.3931	0.2091	0.3477	-0.7334	-1.9111	0.1773	-0.0217	0.5681
STAT5A|STAT5-alpha	-0.2785	0.2373	0.3027	-1.8925	0.0187	0.7565	0.2658	0.897	0.5841	-0.4537	-0.4709	0.4289	0.0287	-1.1843	0.4311	0.2091	1.2258	-0.1816	1.6966	0.7577	1.7385	-2.2201	0.599	0.0942	-1.3391	0.2522	-1.4592	0.1428	0.8458	-2.0324
STMN1|Stathmin	1.3157	-0.3166	0.1453	0.5283	-0.6527	-0.1306	0.3918	0.1038	-0.3582	0.1474	-0.7964	-0.7285	-0.6047	-0.4428	-0.7933	3.249	-0.9283	-0.442	0.1606	-0.6797	-1.0924	2.4503	-0.3945	-0.1527	0.3218	-1.2243	0.2154	-0.6045	-0.4393	1.7522
SYK|Syk	-0.3921	0.311	1.6238	0.1376	-1.2872	0.2389	0.554	1.0829	0.1123	0.052	-0.9179	0.7958	-0.9169	-0.5157	-0.215	-2.8274	1.8411	-0.5687	0.6402	0.3004	0.2937	0.1008	0.7222	0.2718	0.2651	0.307	-2.5383	-0.2433	1.2205	-0.4484
TSC2|Tuberin	-1.3161	-0.6382	0.0091	0.311	-0.3531	0.8568	-0.2137	-0.1603	-0.351	0.7508	-0.2512	1.4213	-0.0484	-0.8822	0.411	0.0793	1.811	1.1511	0.5249	0.0804	1.3639	-0.8119	0.0246	0.3624	0.0311	-0.6544	-0.1516	0.0161	0.4849	-3.8577
KDR|VEGFR2	1.4587	-0.6129	-0.9136	-2.0276	-0.6345	-0.7821	0.7883	0.8335	-0.18	2.542	-0.176	-0.0882	1.232	-1.0322	-0.2199	0.4807	0.1978	1.0489	-0.6758	-1.1643	-1.4704	-0.1599	0.2062	-0.0547	1.2872	-0.3599	-1.3713	-0.1287	0.9508	1.0259
XRCC1|XRCC1	0.7114	1.4748	1.0122	2.1122	-0.9784	-0.8305	-0.715	-1.3282	0.4801	0.6134	-0.7817	0.5158	0.1263	-0.1498	-0.8356	-2.4105	1.2901	-0.4376	0.0251	-0.7538	0.5589	-0.7323	0.2873	0.6975	1.4803	-0.4466	-1.522	-0.6518	0.2787	0.9098
YAP1|YAP	0.752	-0.6814	-0.3371	0.609	-1.2132	0.0576	0.0808	-0.4544	0.6763	1.0493	-1.542	0.5974	-0.1861	-0.3667	-0.2215	3.0576	-0.7791	-0.3292	-1.1465	-0.9266	-0.5426	0.5253	-1.1635	0.0039	1.3413	-1.0566	-0.1503	-0.306	0.4387	2.2138
YAP1|YAP_pS127	0.7213	-0.8835	0.4495	-0.0262	-0.4159	0.7042	1.3092	-0.2969	-1.2968	0.3696	-0.6365	-0.8394	0.8825	-0.3123	-0.1837	3.1873	-1.7338	-0.5012	-1.2224	-0.3662	-0.1409	-0.7554	-0.7333	-0.2364	-0.5582	1.273	0.0754	0.1617	0.0067	1.9988
YBX1|YB-1	-0.0079	-0.2928	-1.1021	-0.2324	-1.5653	-0.3065	-0.6859	0.1142	0.928	1.5044	-0.7307	0.414	0.5557	0.2119	0.798	0.5168	0.1126	-0.8961	-0.5056	-0.596	-0.779	3.4915	-0.6741	-1.1425	0.6353	0.3928	1.5158	-1.2554	-0.0912	-0.3278
YBX1|YB-1_pS102	0.6896	-0.3858	0.1107	0.5496	-0.694	-0.3227	-0.662	-0.5055	-1.2627	-0.3723	-0.4717	-1.5275	-0.7914	0.4468	-0.3994	2.7622	-1.3262	-1.1686	-0.2923	-0.7645	1.5697	1.6239	-0.1164	-0.3992	0.3252	0.5935	1.5516	-0.1851	-0.2609	1.6856
EIF4EBP1|4E-BP1_pT70	1.0247	0.1105	-0.6718	0.8966	-1.2474	-0.7525	0.186	-0.0135	-0.504	-0.3204	-0.9576	-0.5211	-0.4488	-0.4408	-0.2746	1.2906	-0.5956	-1.1595	0.5117	-0.9852	-0.9098	0.6998	-0.3239	-0.899	-0.3249	2.3234	1.567	-0.5184	0.3758	2.883
ARAF|A-Raf_pS299	0.3507	-0.1506	-0.4208	0.8889	2.095	0.2387	0.1152	0.6351	-1.0192	-0.3567	2.072	-0.7256	-0.5752	1.7177	1.0111	-0.2516	-0.9451	-0.9697	0.4044	-0.3922	-1.4233	-0.1112	-1.7578	0.2519	-0.1765	-1.1676	0.6538	1.7016	-1.1454	-0.5477
ANXA7|Annexin_VII	0.9753	0.3877	-0.4246	1.5968	-0.4538	-0.4692	-0.1595	-0.8532	0.028	1.1769	0.3219	-1.238	-0.7786	0.5302	-0.5233	-1.3629	1.3197	1.318	0.9459	-0.9457	0.1436	-2.7578	0.1908	-0.2608	1.5109	-0.7818	1.5773	0.0478	-0.4981	-0.5632
ARID1A|ARID1A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BRAF|B-Raf	-0.1451	0.2451	0.9649	-2.3394	-0.492	-1.0658	-0.2334	0.5478	0.5816	1.2142	0.1964	-0.0155	0.6143	-0.9225	1.0219	-1.5929	1.0905	0.3129	-0.0166	-0.2978	0.6048	-0.3687	0.4757	1.0579	0.0894	0.5758	0.2175	-0.0116	0.9482	-3.2576
BAD|Bad_pS112	0.8336	0.6364	-0.372	0.8638	0.68	1.2055	-0.1596	0.216	-0.3508	-1.0223	-0.0018	-0.7775	-0.1759	0.0356	0.1319	-0.6785	-1.2668	-0.4745	0.6926	0.4011	0.6581	-1.3048	0.407	0.4619	-0.9421	1.3354	0.9911	0.9056	0.7713	-3.7003
BAP1|Bap1-c-4	-0.7879	0.1148	-0.4785	-0.1679	1.8294	-1.2498	-0.225	-0.5331	0.1387	0.8803	1.4295	-0.2157	0.5589	1.0427	0.6062	-1.8662	1.0884	0.5974	0.1973	0.7746	-0.9248	-0.9274	-0.007	0.72	-0.5743	-1.2021	0.3937	1.052	0.5585	-2.8229
BRCA2|BRCA2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MS4A1|CD20	-0.5472	-0.9505	-0.9567	1.3665	-0.5402	0.267	-1.2251	-0.778	-0.7156	0.8528	0.1638	0.9191	-0.3524	0.0259	0.6383	2.2783	0.7752	0.6519	-0.1783	-0.8216	1.074	0.1451	-1.9184	-1.2085	-0.0546	-1.0017	2.4195	-0.1603	-0.702	0.5336
CCNE2|Cyclin_E2	-0.681	-1.3173	-0.8612	0.8615	-1.1629	0.7141	-1.6804	-1.2029	-0.5039	1.0626	-0.5218	1.8263	0.3501	0.0332	1.1593	-0.3438	0.7605	0.6935	-0.2006	-0.3894	1.1452	-0.6414	-1.3148	-0.4535	0.4199	-0.0652	2.6542	-0.8692	-0.2732	0.802
ETS1|ETS-1	1.1968	-0.3713	-0.3296	0.5491	1.0778	-0.8178	-0.0344	1.2705	-0.4828	-0.5141	0.7834	-1.321	-0.3615	0.3085	-0.204	2.7223	-1.1136	-1.2584	0.9233	-0.2303	-0.269	0.8702	-2.2957	-1.1512	0.2697	-0.537	1.0759	0.484	-0.8623	0.6228
EIF4G1|eIF4G	-1.7156	-0.9365	-0.9324	-2.2106	0.7539	0.0262	-1.0383	0.5368	-0.2205	1.0028	0.943	0.3849	1.1914	-0.3566	1.1044	-2.2717	1.1851	0.8492	0.6172	0.2759	1.0316	0.3902	0.1279	-0.4668	-0.2973	0.2293	0.2727	0.415	0.9055	-1.7968
FASN|FASN	-0.4676	0.5359	-0.0579	0.6039	0.7186	-1.3874	-0.131	-2.2977	0.5276	-1.4705	1.6082	1.4617	-0.0438	0.2074	0.9608	1.9356	1.4419	-1.3505	-0.516	-0.4635	-0.1521	-0.4275	-1.6628	0.0401	0.5183	0.5668	0.3514	0.0756	-1.1956	0.0702
FOXO3|FOXO3a_pS318_S321	0.7038	-0.746	-1.6249	-0.0653	1.3837	0.4574	0.0097	-1.5214	-1.1437	-1.061	0.6056	-0.0484	-0.2049	-0.19	-0.3667	2.6964	-0.337	-0.644	0.39	-0.737	0.2898	0.3835	-1.3426	-0.1809	-0.0731	-0.4745	2.4287	0.6084	-0.4539	1.2584
FOXM1|FoxM1	0.0779	-0.4164	-0.6163	0.5622	1.9573	-0.9356	-0.8717	-0.293	-1.363	-0.4218	1.5961	-0.7483	-1.1886	1.5991	0.5356	2.1892	-1.1375	-0.5302	0.4337	-0.3301	0.4349	1.3987	-1.0999	-0.2499	-0.0947	-1.3528	0.3225	1.2074	-0.8165	0.1516
G6PD|G6PD	0.2137	0.3039	0.114	-0.2286	0.3356	-1.0874	0.2424	-0.2567	3.1793	-0.692	-0.0731	-1.2761	-0.7927	0.4526	0.0029	-0.0466	-1.5338	-1.329	0.0744	-0.2252	-1.0428	0.2832	-0.1191	-0.5907	-0.1979	2.1147	1.3707	0.0923	-0.8612	1.5732
GAPDH|GAPDH	0.3526	-0.1478	0.8201	0.9529	-2.2989	-0.7005	1.3761	0.634	0.7243	0.239	-1.4485	-0.7919	-0.0055	-0.3006	-0.3952	-1.7955	0.2961	-0.5446	-0.4435	-0.32	0.2388	-1.615	0.2191	-0.645	0.3285	1.4499	2.3172	-0.4043	0.7984	1.1098
GSK3A GSK3B|GSK3_pS9	0.1656	1.6721	0.4855	1.4491	1.1784	-0.0582	0.2496	0.7394	-0.8312	-0.5814	0.8065	-0.345	-1.0945	1.3518	-0.0026	-2.8054	-0.8983	-1.0621	0.4352	0.9782	-0.2782	0.1238	0.2069	0.2866	-1.982	0.7197	-0.3728	1.0196	-0.8524	-0.704
NRG1|Heregulin	-0.5201	-0.3637	4.2078	0.2695	-0.4138	-0.2418	0.0813	0.5906	-0.5207	-0.2443	-0.3682	-0.4921	-0.3711	-0.4249	-0.6284	1.9714	-0.1022	-0.5718	-0.6611	-0.4767	-0.5636	1.564	-0.2991	-0.3606	-0.1896	-0.9551	0.0836	-0.4689	-0.3377	0.8073
MYH11|MYH11	0.8708	-0.3295	-0.36	0.2268	-1.843	-0.1156	0.8278	0.5533	0.1854	0.1696	-1.37	-0.2624	0.6131	-0.5656	-0.9324	2.9194	0.1056	0.6463	-0.3939	0.3184	-0.093	-0.648	0.174	0.9345	1.0523	0.5388	-2.3644	-0.1163	-1.6278	0.886
MYH9|Myosin-IIa-pS1943	1.0783	0.5083	0.6485	1.832	-0.1504	0.5293	0.9055	0.1476	0.1271	-2.1773	-0.1657	1.3115	0.454	0.6921	-0.5108	-2.9074	-1.2164	0.3487	0.0564	-0.1829	-0.8252	-1.2885	-0.2627	-0.636	-0.7158	0.3813	0.2096	0.474	-0.1942	1.5289
